Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict
1238,260622_316_H_b2_back_CBS_01,interior_fill,,0.771,
1239,260622_316_H_b2_back_CBS_01,interior_fill,,0.792,
1240,260622_316_H_b2_back_CBS_01,interior_fill,,0.824,
1241,260622_316_H_b2_back_CBS_01,interior_fill,,0.909,
1242,260622_316_H_b2_back_CBS_01,interior_fill,,0.926,
1243,260622_316_H_b2_back_CBS_01,interior_fill,,0.856,
1244,260622_316_H_b2_back_CBS_01,interior_fill,,0.915,
1245,260622_316_H_b2_back_CBS_01,interior_fill,,0.786,
1247,260622_316_H_b2_back_CBS_01,interior_fill,,0.78,
1249,260622_316_H_b2_back_CBS_01,interior_fill,,0.857,
1253,260622_316_H_b2_back_CBS_01,interior_fill,,0.993,
1254,260622_316_H_b2_back_CBS_01,interior_fill,,0.968,
1255,260622_316_H_b2_back_CBS_01,interior_fill,,0.976,
1256,260622_316_H_b2_back_CBS_01,interior_fill,,0.964,
1257,260622_316_H_b2_back_CBS_01,interior_fill,,0.921,
1258,260622_316_H_b2_back_CBS_01,interior_fill,,0.962,
1259,260622_316_H_b2_back_CBS_01,interior_fill,,0.891,
1260,260622_316_H_b2_back_CBS_01,interior_fill,,0.989,
1261,260622_316_H_b2_back_CBS_01,interior_fill,,0.921,
1262,260622_316_H_b2_back_CBS_01,interior_fill,,0.975,
1263,260622_316_H_b2_back_CBS_01,interior_fill,,0.985,
1265,260622_316_H_b2_back_CBS_01,interior_fill,,0.953,
1266,260622_316_H_b2_back_CBS_01,interior_fill,,0.875,
1267,260622_316_H_b2_back_CBS_01,interior_fill,,0.95,
1268,260622_316_H_b2_back_CBS_01,interior_fill,,0.97,
1269,260622_316_H_b2_back_CBS_01,interior_fill,,0.949,
1270,260622_316_H_b2_back_CBS_01,interior_fill,,0.936,
1271,260622_316_H_b2_back_CBS_01,interior_fill,,0.89,
1272,260622_316_H_b2_back_CBS_01,interior_fill,,0.923,
1273,260622_316_H_b2_back_CBS_01,interior_fill,,0.945,
1274,260622_316_H_b2_back_CBS_01,interior_fill,,0.949,
1275,260622_316_H_b2_back_CBS_01,interior_fill,,0.851,
1276,260622_316_H_b2_back_CBS_01,interior_fill,,0.945,
1277,260622_316_H_b2_back_CBS_01,interior_fill,,0.994,
1278,260622_316_H_b2_back_CBS_01,interior_fill,,0.962,
1279,260622_316_H_b2_back_CBS_01,interior_fill,,0.99,
1280,260622_316_H_b2_back_CBS_01,interior_fill,,0.957,
1281,260622_316_H_b2_back_CBS_01,interior_fill,,0.938,
1282,260622_316_H_b2_back_CBS_01,interior_fill,,0.966,
1283,260622_316_H_b2_back_CBS_01,interior_fill,,0.988,
1284,260622_316_H_b2_back_CBS_01,interior_fill,,0.99,
1285,260622_316_H_b2_back_CBS_01,interior_fill,,0.968,
1286,260622_316_H_b2_back_CBS_01,interior_fill,,0.945,
1288,260622_316_H_b2_back_CBS_01,interior_fill,,0.887,
1289,260622_316_H_b2_back_CBS_01,interior_fill,,0.933,
1290,260622_316_H_b2_back_CBS_01,interior_fill,,0.959,
1291,260622_316_H_b2_back_CBS_01,interior_fill,,0.974,
1292,260622_316_H_b2_back_CBS_01,interior_fill,,0.958,
1293,260622_316_H_b2_back_CBS_01,interior_fill,,0.925,
1294,260622_316_H_b2_back_CBS_01,interior_fill,,0.965,
1295,260622_316_H_b2_back_CBS_01,interior_fill,,0.787,
1296,260622_316_H_b2_back_CBS_01,interior_fill,,0.976,
1297,260622_316_H_b2_back_CBS_01,interior_fill,,0.96,
1298,260622_316_H_b2_back_CBS_01,interior_fill,,0.942,
1299,260622_316_H_b2_back_CBS_01,interior_fill,,0.969,
1300,260622_316_H_b2_back_CBS_01,interior_fill,,0.987,
1301,260622_316_H_b2_back_CBS_01,interior_fill,,0.992,
1302,260622_316_H_b2_back_CBS_01,interior_fill,,0.953,
1303,260622_316_H_b2_back_CBS_01,interior_fill,,0.985,
1304,260622_316_H_b2_back_CBS_01,interior_fill,,0.823,
1306,260622_316_H_b2_back_CBS_01,interior_fill,,0.831,
1310,260622_316_H_b2_back_CBS_01,interior_fill,,0.781,
1312,260622_316_H_b2_back_CBS_01,interior_fill,,0.914,
1314,260622_316_H_b2_back_CBS_01,interior_fill,,0.939,
1318,260622_316_H_b2_back_CBS_01,interior_fill,,0.849,
1320,260622_316_H_b2_back_CBS_01,interior_fill,,0.859,
1321,260622_316_H_b2_back_CBS_01,interior_fill,,0.827,
1322,260622_316_H_b2_back_CBS_01,interior_fill,,0.86,
1324,260622_316_H_b2_back_CBS_01,interior_fill,,0.771,
1325,260622_316_H_b2_back_CBS_01,interior_fill,,0.798,
1328,260622_316_H_b2_back_CBS_01,interior_fill,,0.957,
1329,260622_316_H_b2_back_CBS_01,interior_fill,,0.918,
1330,260622_316_H_b2_back_CBS_01,interior_fill,,0.78,
1333,260622_316_H_b2_back_CBS_01,interior_fill,,0.789,
1335,260622_316_H_b2_back_CBS_01,interior_fill,,0.819,
1338,260622_316_H_b2_back_CBS_01,interior_fill,,0.865,
1339,260622_316_H_b2_back_CBS_01,interior_fill,,0.777,
1343,260622_316_H_b2_back_CBS_01,interior_fill,,0.916,
1345,260622_316_H_b2_back_CBS_01,interior_fill,,0.799,
1347,260622_316_H_b2_back_CBS_01,interior_fill,,0.867,
1349,260622_316_H_b2_back_CBS_01,interior_fill,,0.864,
1351,260622_316_H_b2_back_CBS_01,interior_fill,,0.909,
1353,260622_316_H_b2_back_CBS_01,interior_fill,,0.751,
1354,260622_316_H_b2_back_CBS_01,interior_fill,,0.933,
1357,260622_316_H_b2_back_CBS_01,interior_fill,,0.767,
1358,260622_316_H_b2_back_CBS_01,interior_fill,,0.924,
1359,260622_316_H_b2_back_CBS_01,interior_fill,,0.949,
1360,260622_316_H_b2_back_CBS_01,interior_fill,,0.912,
1364,260622_316_H_b2_back_CBS_01,interior_fill,,0.805,
1367,260622_316_H_b2_back_CBS_01,interior_fill,,0.901,
1368,260622_316_H_b2_back_CBS_01,interior_fill,,0.829,
1369,260622_316_H_b2_back_CBS_01,interior_fill,,0.795,
1370,260622_316_H_b2_back_CBS_01,interior_fill,,0.954,
1371,260622_316_H_b2_back_CBS_01,interior_fill,,0.846,
1372,260622_316_H_b2_back_CBS_01,interior_fill,,0.767,
1373,260622_316_H_b2_back_CBS_01,interior_fill,,0.783,
