N_pct,M_pct,floor,dist_thr,bri_thr,recall,pool_accept,tightest_mechanism,tightest_rel_margin_pct,risky
7,20,0.8,1.7235487684328383,48.777593327799835,0.0,0.0008403361344537816,gate:bri,-31.95777969850061,False
14,20,0.83,2.4174390135208963,48.777593327799835,0.02564102564102564,0.005042016806722689,gate:bri,-31.95777969850061,False
14,20,0.8,2.4174390135208963,48.777593327799835,0.05128205128205128,0.007563025210084034,gate:bri,-31.95777969850061,False
17,20,0.81,2.700657688435182,48.777593327799835,0.07692307692307693,0.010084033613445379,gate:bri,-31.95777969850061,False
18,20,0.73,2.797634553582502,48.777593327799835,0.10256410256410256,0.015966386554621848,gate:bri,-31.95777969850061,False
17,36,0.81,2.700657688435182,72.14454414063579,0.1282051282051282,0.023529411764705882,gate:dist,-68.98089146488331,False
18,36,0.75,2.797634553582502,72.14454414063579,0.15384615384615385,0.031092436974789917,gate:dist,-63.123358320291835,False
18,48,0.75,2.797634553582502,95.08779071730658,0.1794871794871795,0.06302521008403361,gate:dist,-63.123358320291835,False
28,36,0.34,3.8968020995571435,72.14454414063579,0.20512820512820512,0.08487394957983194,gate:dist,-17.11129589699504,False
32,36,0.34,4.490437464016768,72.14454414063579,0.23076923076923078,0.09915966386554621,gate:dist,-1.629194792314786,True
28,48,0.34,3.8968020995571435,95.08779071730658,0.2564102564102564,0.12941176470588237,gate:dist,-17.11129589699504,False
32,48,0.34,4.490437464016768,95.08779071730658,0.28205128205128205,0.14873949579831933,gate:dist,-1.629194792314786,True
22,76,0.63,3.248408487139248,119.20808073870575,0.3076923076923077,0.17647058823529413,gate:dist,-40.487117165232796,False
65,50,0.76,11.036219980826784,97.0556196395614,0.3333333333333333,0.18907563025210083,gate:dist,-26.007628726542663,False
34,79,0.76,4.8188538615585434,122.24854118549393,0.358974358974359,0.20252100840336135,floor,30.289279046248673,False
29,79,0.62,4.0392630742235704,122.24854118549393,0.38461538461538464,0.2235294117647059,gate:dist,-12.980891649645734,True
29,79,0.34,4.0392630742235704,122.24854118549393,0.41025641025641024,0.246218487394958,gate:dist,-12.980891649645734,True
34,79,0.62,4.8188538615585434,122.24854118549393,0.4358974358974359,0.25798319327731095,floor,14.548148508304829,True
34,84,0.62,4.8188538615585434,128.0932663580551,0.46153846153846156,0.27058823529411763,floor,14.548148508304829,True
51,88,0.76,7.604926797496954,132.85522494418163,0.48717948717948717,0.2949579831932773,floor,30.289279046248673,False
57,88,0.76,8.645853961933085,132.85522494418163,0.5128205128205128,0.32941176470588235,floor,30.289279046248673,False
65,88,0.78,11.036219980826784,132.85522494418163,0.5384615384615384,0.35714285714285715,gate:dist,-26.007628726542663,False
70,79,0.76,12.901030955813528,122.24854118549393,0.5641025641025641,0.3680672268907563,gate:dist,-7.793548798657242,True
51,85,0.62,7.604926797496954,129.2250619730375,0.5897435897435898,0.3873949579831933,floor,14.548148508304829,True
51,88,0.62,7.604926797496954,132.85522494418163,0.6153846153846154,0.3957983193277311,floor,14.548148508304829,True
57,88,0.62,8.645853961933085,132.85522494418163,0.6410256410256411,0.4394957983193277,floor,14.548148508304829,True
57,88,0.57,8.645853961933085,132.85522494418163,0.6666666666666666,0.4638655462184874,floor,7.052372061664893,True
65,88,0.62,11.036219980826784,132.85522494418163,0.6923076923076923,0.5008403361344538,floor,14.548148508304829,True
70,85,0.62,12.901030955813528,129.2250619730375,0.717948717948718,0.5260504201680672,gate:dist,-7.793548798657242,True
70,88,0.62,12.901030955813528,132.85522494418163,0.7435897435897436,0.5403361344537815,gate:dist,-7.793548798657242,True
70,88,0.57,12.901030955813528,132.85522494418163,0.7692307692307693,0.5672268907563025,floor,7.052372061664893,True
