SourceImage,Set,Family,Detector,Tier,H,W,SkeletonPx,SkeletonNodes,SkeletonEnds,Branches,NodeDensity_per100px_skel,SkelPerMpx,FractalDim,CrackAreaPct,MeanWidth_px
MAR_Amb_Cast_CBS_0005,MAR_Amb_Cast,superalloy,CBS,hi,4096,6144,138288,16888,2876,1821,12.2122,5495.1,1.8693,41.253,247.146
MAR_Amb_AS_CBS_0001,MAR_Amb_AS,superalloy,CBS,lo,2952,2952,11502,2170,385,206,18.8663,1319.9,1.466,2.2753,26.045
260708_316_H_b2_front_CBS_006,260708_316_H_b2,steel,CBS,lo,2044,3071,13676,330,94,131,2.413,2178.7,1.9077,29.8967,286.613
260708_316_H_b2_front_CBS_010,260708_316_H_b2,steel,CBS,lo,2037,3072,310,6,19,10,1.9355,49.5,0.8933,0.0334,5.916
MAR_Amb_HIP_ETD_0008,MAR_Amb_HIP,superalloy,ETD,lo,2048,3072,12105,2260,348,197,18.67,1924.0,1.4491,4.0319,21.574
MAR_Amb_AS_ETD_0002,MAR_Amb_AS,superalloy,ETD,hi,4096,6144,49193,3252,548,496,6.6107,1954.8,1.8248,20.1942,195.403
MAR_Amb_HIP_CBS_0007,MAR_Amb_HIP,superalloy,CBS,lo,2048,3072,12263,3427,466,198,27.9459,1949.2,1.3839,1.9341,15.102
MAR_Amb_AS_CBS_0006,MAR_Amb_AS,superalloy,CBS,hi,4096,6144,14840,2357,615,245,15.8827,589.7,1.1129,0.4801,7.619
MAR_Amb_HIP_ETD_0003,MAR_Amb_HIP,superalloy,ETD,hi,4096,6144,22442,805,433,298,3.587,891.8,1.7679,9.9933,210.942
MAR_Amb_Cast_CBS_0002,MAR_Amb_Cast,superalloy,CBS,hi,4096,6144,118074,12341,2223,1360,10.4519,4691.8,1.8194,27.3018,296.156
MAR_Amb_Cast_ETD_0001,MAR_Amb_Cast,superalloy,ETD,hi,3042,3041,10907,657,183,128,6.0237,1179.0,1.8453,11.9613,184.543
260708_316_H_b2_front_CBS_001,260708_316_H_b2,steel,CBS,lo,1490,1490,2720,184,24,54,6.7647,1225.2,1.759,5.4645,61.261
260622_316_H_b4_CBS_02,260622_316_H_b4,steel,CBS,hi,4096,6144,52946,2568,868,674,4.8502,2103.9,1.5834,8.1956,59.714
260622_316_H_b2_back_CBS_01,260622_316_H_b2,steel,CBS,hi,4096,6144,76181,11638,2236,1165,15.2768,3027.2,1.6432,11.0601,85.589
260708_316_H_b2_front_CBS_016,260708_316_H_b2,steel,CBS,hi,4090,6144,34870,540,133,253,1.5486,1387.6,1.8932,24.2835,283.282
MAR_Amb_AS_ETD_0004,MAR_Amb_AS,superalloy,ETD,hi,4096,6144,17196,2063,591,372,11.997,683.3,1.3353,1.219,18.243
260622_316_H_b2_front_CBS_01,260622_316_H_b2,steel,CBS,hi,4096,6144,61265,6785,1517,973,11.0748,2434.5,1.6316,9.9787,104.575
MAR_Amb_Cast_CBS_0003,MAR_Amb_Cast,superalloy,CBS,hi,4096,6144,13890,1172,504,262,8.4377,551.9,1.1422,0.5334,8.916
