Process,Field,HasCBS,HasETD,CBS_AreaPct,ETD_AreaPct,Jaccard,Delta_CBS_minus_ETD
AS,0001,True,True,2.2752591601119265,3.456957949019623,0.4792,-1.182
AS,0002,True,True,21.63780132929484,20.194220542907715,0.894,1.444
AS,0003,True,True,51.17329756418864,49.7108260790507,0.9466,1.462
AS,0004,True,True,2.771345774332682,1.2189507484436035,0.4052,1.552
AS,0005,True,False,0.9768048922220866,,,
AS,0006,True,True,0.4800875981648763,2.901915709177653,0.0563,-2.422
Cast,0001,True,True,15.281956783134838,11.961250159717263,0.7007,3.321
Cast,0002,True,True,27.301804224650066,19.456664721171062,0.7108,7.845
Cast,0003,True,True,0.5333860715230306,0.17830133438110352,0.2603,0.355
Cast,0004,True,True,25.508252779642742,21.075260639190674,0.7794,4.433
Cast,0005,True,True,41.25298261642456,22.160073121388752,0.5311,19.093
HIP,0003,True,True,15.134461720784506,9.993326663970947,0.6377,5.141
HIP,0004,True,False,0.06785790125528972,,,
HIP,0005,True,True,21.33252223332723,2.905710538228353,0.1313,18.427
HIP,0006,True,True,4.398918151855469,2.206472555796305,0.3974,2.192
HIP,0007,True,True,1.9341309865315754,1.2935320536295574,0.3687,0.641
HIP,0008,True,True,3.76432736714681,4.031928380330403,0.3448,-0.268
HIP,0010,True,True,9.373156229654947,8.599662780761719,0.7085,0.773
