Area,Width,Height,X,Y,Elongation,Solidity,Eccentricity,Extent,Circularity,MeanRawBrightness,MeanFlatBrightness,MeanVesselness,FracBoundaryTouchingCrack,MeanDistToCrack,LogArea,Label,SourceImage,CandidateType,ParentLabels,IsCrack,CrackProbability
33,11,6,1116.0,1004.2121212121212,2.2191550031311493,0.7021276595744681,0.8927148704078095,0.5,0.7766970340197097,29.151515151515152,59.15151515151515,0.0003774095868409,0.6190476190476191,1.7234545850666534,1.5185139398778875,204,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
41,9,13,1102.3658536585365,1034.0487804878048,2.6294108265485754,0.6721311475409836,0.9248577011489038,0.3504273504273504,0.6906092332049542,15.902439024390244,54.53658536585366,2.8034122424477795e-05,0.6363636363636364,1.7618878612944129,1.6127838567197357,205,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
138,22,17,1100.6304347826087,1065.8695652173913,2.603509885175496,0.641860465116279,0.923292799625079,0.3689839572192513,0.4382384192913064,19.78985507246377,44.268115942028984,0.0012535517493054,0.6153846153846154,2.6323286987238808,2.1398790864012365,206,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
552,33,32,317.9927536231884,415.0561594202899,1.2740381731356438,0.8117647058823529,0.6196150622653241,0.5227272727272727,0.4372498920243254,108.19565217391305,110.0054347826087,0.0170608888300299,0.4174757281553398,5.43233526290391,2.741939077729199,222,MAR_Amb_HIP_ETD_0010,bridge_corridor,,True,1.0
235,23,56,315.60425531914893,384.20425531914896,3.921303241952248,0.330520393811533,0.96693650163472,0.1824534161490683,0.1679438002910702,34.272340425531915,43.84255319148936,0.015335032001498,0.5158730158730159,2.7920777591625843,2.3710678622717363,237,MAR_Amb_HIP_ETD_0010,interior_fill,,True,1.0
8317,373,163,1385.57604905615,958.1563063604664,4.495360544167682,0.19856750626716,0.9749437420026116,0.1367950130758729,0.0110087814166688,32.839244920043285,55.54322472045209,0.0104032000535772,0.2460842325095718,11.441308474345169,3.919966701483387,243,MAR_Amb_HIP_ETD_0010,interior_fill,,True,1.0
311,74,82,1170.4469453376205,1045.9807073954985,14.310884365278344,0.3380434782608695,0.9975556230848346,0.0512524719841793,0.1108735328993844,27.964630225080384,50.09967845659164,0.011030504507042,0.5588235294117647,2.4325521596439437,2.4927603890268375,244,MAR_Amb_HIP_ETD_0010,interior_fill,,True,1.0
1224,66,27,30.99754901960784,363.8333333333333,3.3768499442570694,0.8736616702355461,0.9551464119806484,0.6868686868686869,0.5460056406685977,86.56290849673202,103.1903594771242,0.0102904406527743,0.0,57.316751348192234,3.087781417809542,2001,MAR_Amb_HIP_ETD_0010,user_painted,,True,1.0
2227,108,58,800.9555455770094,465.0844185002245,4.900914734926577,0.7800350262697022,0.9789618139118228,0.3555236270753512,0.3734012889977362,85.38661876964527,101.22272114952852,0.0230598010756264,0.0,155.96482018540047,3.347720217034038,2002,MAR_Amb_HIP_ETD_0010,user_painted,,True,1.0
82,17,11,1519.621951219512,832.1463414634146,3.0663762563384487,0.7663551401869159,0.9453291250774472,0.4385026737967914,0.582994709007131,23.20731707317073,65.40243902439025,0.0018231980443867,0.6571428571428571,2.2635785006467164,1.9138138523837167,199,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
436,29,32,1476.6238532110092,883.5435779816514,1.9804755950908393,0.7254575707154742,0.863160750668227,0.4698275862068966,0.4196631529599168,14.013761467889909,86.3211009174312,0.0002950912318257,0.8723404255319149,2.995434109040715,2.639486489268586,200,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
629,79,186,1603.9523052464228,1117.891891891892,14.684174065986628,0.2508974870362984,0.9976784643121877,0.04280658772288,0.0489339362613967,34.430842607313195,27.0302066772655,0.0325166270744407,0.5249343832020997,2.562922853174613,2.798650645445269,245,MAR_Amb_HIP_ETD_0010,interior_fill,,True,1.0
38,13,5,1426.9473684210527,887.078947368421,3.261100253520997,0.7450980392156863,0.951823965017551,0.5846153846153846,0.5466280116124765,10.605263157894736,62.39473684210526,0.0001468772339733,0.6,1.6595064314194674,1.57978359661681,201,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
99,12,13,1447.3939393939395,891.6666666666666,1.2638224770472613,0.7857142857142857,0.6114923181879469,0.6346153846153846,0.5957190073281704,9.818181818181818,70.41414141414141,0.0001253876753279,0.8529411764705882,1.9729828279764792,1.99563519459755,202,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
46,10,14,1448.4782608695652,910.4782608695652,3.691099504703049,0.6666666666666666,0.9626013082921604,0.3285714285714285,0.500912896297645,22.39130434782609,74.08695652173913,0.0001871720763029,0.5384615384615384,1.7147907892087069,1.662757831681574,203,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
46,10,14,1448.4782608695652,910.4782608695652,3.691099504703049,0.6666666666666666,0.9626013082921604,0.3285714285714285,0.500912896297645,22.39130434782609,74.08695652173913,0.0001871720763029,0.5384615384615384,1.7147907892087069,1.662757831681574,203,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
54,9,21,1879.2407407407409,1616.3333333333333,3.449631784962877,0.4029850746268656,0.9570611789309542,0.2857142857142857,0.3716893164810005,75.53703703703704,38.370370370370374,0.0178765034576522,0.6097560975609756,1.548968672705569,1.7323937598229686,221,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
68,14,19,2092.25,1650.6029411764705,3.7985304016056793,0.5271317829457365,0.9647250005817838,0.2556390977443609,0.3696928792263664,20.61764705882353,47.838235294117645,0.000133869193392,0.5952380952380952,1.7558542123684333,1.8325089127062364,220,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
58,11,16,2193.2413793103447,1547.7586206896551,3.811117921455139,0.6666666666666666,0.9649618552395772,0.3295454545454545,0.4649706507101482,95.10344827586206,87.27586206896552,0.070627264746581,0.5882352941176471,1.841562807367348,1.7634279935629371,218,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
289,22,38,2118.612456747405,1595.59169550173,3.0985481777960695,0.6628440366972477,0.9464904604306289,0.3456937799043062,0.3517915811643913,20.698961937716263,58.377162629757784,0.0012037972531951263,0.8505747126436781,2.426298781165064,2.4608978427565478,219,MAR_Amb_HIP_ETD_0010,concavity,,True,1.0
